name	category	klass	idempotent	input	output	error	notes
atx-heading-h1	commonmark-block	BYTE_IDENTICAL	Y	"# Heading 1\n"	"# Heading 1\n"		
atx-heading-h2	commonmark-block	BYTE_IDENTICAL	Y	"## Heading 2\n"	"## Heading 2\n"		
atx-heading-h3	commonmark-block	BYTE_IDENTICAL	Y	"### Heading 3\n"	"### Heading 3\n"		
atx-heading-h4	commonmark-block	BYTE_IDENTICAL	Y	"#### Heading 4\n"	"#### Heading 4\n"		
atx-heading-h5	commonmark-block	BYTE_IDENTICAL	Y	"##### Heading 5\n"	"##### Heading 5\n"		
atx-heading-h6	commonmark-block	BYTE_IDENTICAL	Y	"###### Heading 6\n"	"###### Heading 6\n"		
atx-heading-trailing-hashes	commonmark-block	STRUCTURE_CHANGE	Y	"## Heading ##\n"	"## Heading\n"		
setext-heading-h1	commonmark-block	BYTE_IDENTICAL	Y	"Heading 1\n=========\n"	"Heading 1\n=========\n"		
setext-heading-h2	commonmark-block	BYTE_IDENTICAL	Y	"Heading 2\n---------\n"	"Heading 2\n---------\n"		
hr-dashes	commonmark-block	BYTE_IDENTICAL	Y	"---\n"	"---\n"		
hr-asterisks	commonmark-block	BYTE_IDENTICAL	Y	"***\n"	"***\n"		
hr-underscores	commonmark-block	BYTE_IDENTICAL	Y	"___\n"	"___\n"		
paragraph-plain	commonmark-block	BYTE_IDENTICAL	Y	"A simple paragraph.\n"	"A simple paragraph.\n"		
paragraph-with-soft-break	commonmark-block	WHITESPACE_DIFF	Y	"Line one.\nLine two continues.\n"	"Line one. Line two continues.\n"		
paragraph-with-hard-break-spaces	commonmark-block	BYTE_IDENTICAL	Y	"Line one.  \nLine two.\n"	"Line one.  \nLine two.\n"		
paragraph-with-hard-break-backslash	commonmark-block	BYTE_IDENTICAL	Y	"Line one.\\\nLine two.\n"	"Line one.\\\nLine two.\n"		
paragraph-multiple-blank-lines	commonmark-block	WHITESPACE_DIFF	Y	"First.\n\n\n\nSecond.\n"	"First.\n\nSecond.\n"		
blockquote-simple	commonmark-block	BYTE_IDENTICAL	Y	"> A blockquote.\n"	"> A blockquote.\n"		
blockquote-multiline	commonmark-block	STRUCTURE_CHANGE	Y	"> Line one.\n> Line two.\n"	"> Line one. Line two.\n"		
